modality,reference,model,tilt,MAE,MSE,PSNR,SSIM
shrec,noiseless,4,41,0.497108,0.2524944621911768,5.977481425599245,0.21644337
shrec,noiseless,4,42,0.49915007,0.25450367439264177,5.943059431624713,0.22324087
shrec,noiseless,4,43,0.49970716,0.2552931389427856,5.92960856795155,0.20741126
shrec,noiseless,4,44,0.50124556,0.25679514361268685,5.904131936956887,0.2139262
shrec,noiseless,4,45,0.502537,0.2580741766655585,5.882554495155112,0.21216455
shrec,noiseless,4,46,0.50299287,0.2585372016373556,5.874769562320652,0.21401522
shrec,noiseless,4,47,0.505823,0.2613476891637546,5.82781335581026,0.222615
shrec,noiseless,4,48,0.43228942,0.19281383172986585,7.1486181468376095,0.21567497
shrec,noiseless,4,49,0.43590617,0.19590993390849937,7.079435418905975,0.2068449
shrec,noiseless,4,50,0.43919826,0.198697583029794,7.018074156441231,0.21412338
shrec,noiseless,4,51,0.44378033,0.2025632811496481,6.934392768402401,0.2162961
shrec,noiseless,4,52,0.44748282,0.20591755244627716,6.863066324705413,0.20307665
shrec,noiseless,4,53,0.45436767,0.2115816956349471,6.745219067152563,0.22043371
shrec,noiseless,4,54,0.46127674,0.21778599061309734,6.619700602786358,0.21401832
shrec,noiseless,4,55,0.47101498,0.226640292737601,6.4466287753526,0.21890473
shrec,noiseless,4,56,0.4820382,0.23733959033013394,6.246298116023387,0.21480349
shrec,noiseless,4,57,0.4315913,0.19318714809877868,7.140217686836468,0.20346683
shrec,noiseless,4,58,0.449726,0.2101837211164255,6.774009234318613,0.2060967
shrec,noiseless,4,59,0.43160373,0.19276662559515104,7.149681549483235,0.20770222
shrec,noiseless,4,60,0.44972527,0.20934068002852133,6.791463693907797,0.20863362
noisy,noiseless,5,0,0.40532017,0.17381965539540628,7.599011154183582,0.17684871
noisy,noiseless,5,1,0.40672314,0.17470544548198996,7.576935580627353,0.17854379
noisy,noiseless,5,2,0.4080468,0.17560634806935993,7.554597886482397,0.17927746
noisy,noiseless,5,3,0.40928268,0.1764547753904024,7.533665838461648,0.18049562
noisy,noiseless,5,4,0.41046757,0.17722250018486918,7.514811408812712,0.18115616
noisy,noiseless,5,5,0.4115883,0.1779338272185858,7.497414798091507,0.18213916
noisy,noiseless,5,6,0.41263866,0.1786446228001336,7.480100515207395,0.18326855
noisy,noiseless,5,7,0.41361967,0.17936227797142013,7.462688890034768,0.18413255
noisy,noiseless,5,8,0.41452777,0.1800789674540804,7.445370081801309,0.18416621
noisy,noiseless,5,9,0.41536784,0.18065712734757783,7.431448998215991,0.18566988
noisy,noiseless,5,10,0.41614074,0.1811719093441631,7.4190913868209645,0.18642646
noisy,noiseless,5,11,0.4168561,0.1816850209579608,7.406808766735847,0.18683803
noisy,noiseless,5,12,0.41751274,0.18209732015885816,7.396964454669366,0.1882342
noisy,noiseless,5,13,0.41811773,0.18250160471475552,7.3873331249134555,0.1882287
noisy,noiseless,5,14,0.41865343,0.18281240543511018,7.379943368887776,0.18933284
noisy,noiseless,5,15,0.4191442,0.18316605376439637,7.37155011174999,0.18929711
noisy,noiseless,5,16,0.41954458,0.18344791458623375,7.364872208872592,0.18945184
noisy,noiseless,5,17,0.41988093,0.18366910991515895,7.35963878650379,0.18979967
noisy,noiseless,5,18,0.4201582,0.18386315514227977,7.3550529154268425,0.19047076
noisy,noiseless,5,19,0.4203718,0.18407131600658716,7.350138827106712,0.19076714
noisy,noiseless,5,20,0.42050892,0.184170496152037,7.347799419168637,0.19088759
noisy,noiseless,5,21,0.42056066,0.18420592843774014,7.346963966887635,0.19081801
noisy,noiseless,5,22,0.420541,0.18417459675794895,7.34770272340402,0.19110374
noisy,noiseless,5,23,0.4204251,0.18403549378250944,7.350984092333101,0.19100815
noisy,noiseless,5,24,0.42023048,0.1838520375271867,7.355315527306068,0.19054696
noisy,noiseless,5,25,0.41994902,0.18359944131682254,7.361286446674031,0.19022983
noisy,noiseless,5,26,0.41957307,0.1833108452529231,7.368118400341483,0.19007783
noisy,noiseless,5,27,0.41911572,0.18297462328491504,7.376091383107881,0.18994823
noisy,noiseless,5,28,0.4185713,0.18257658722037967,7.385549151528624,0.18932043
noisy,noiseless,5,29,0.4179224,0.18205125656503218,7.39806319106438,0.18889216
noisy,noiseless,5,30,0.4171461,0.18143096257375502,7.412885952943563,0.18821123
noisy,noiseless,5,31,0.41655162,0.18085329676986606,7.426735700878134,0.18823463
noisy,noiseless,5,32,0.41586542,0.18025310994814803,7.441172335618303,0.18754286
noisy,noiseless,5,33,0.41508272,0.17961407958583533,7.456596228648697,0.1871117
noisy,noiseless,5,34,0.4142357,0.17895239400227542,7.472624872989932,0.1858249
noisy,noiseless,5,35,0.4133072,0.1782181857017952,7.490479818537734,0.18513659
noisy,noiseless,5,36,0.41230276,0.17737404014474398,7.511099417020187,0.18445094
noisy,noiseless,5,37,0.4112187,0.1765097191313482,7.532313761180733,0.18317983
noisy,noiseless,5,38,0.4100678,0.17552675565404674,7.556566743704764,0.18310925
noisy,noiseless,5,39,0.4088335,0.17453016532908885,7.5812949991532665,0.1816786
